 0.5304357E+00   single scattering albedo
 0.2495167E+01   scattering cross section
 0.4703995E+01   extinction cross section
 Normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.1116541367E+03     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1116541367E+03     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1116541367E+03     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.1116541367E+03
   1.000     0.1102989655E+03    -0.6750950962E-01     0.0000000000E+00     0.0000000000E+00    -0.6750950962E-01     0.1102989655E+03     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1102988968E+03     0.1202547103E+00     0.0000000000E+00     0.0000000000E+00    -0.1202547103E+00     0.1102988968E+03
   2.000     0.1063324051E+03    -0.2611305714E+00     0.0000000000E+00     0.0000000000E+00    -0.2611305714E+00     0.1063324051E+03     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1063309479E+03     0.4648421109E+00     0.0000000000E+00     0.0000000000E+00    -0.4648421109E+00     0.1063309479E+03
   3.000     0.1000436096E+03    -0.5554278493E+00     0.0000000000E+00     0.0000000000E+00    -0.5554278493E+00     0.1000436096E+03     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1000366440E+03     0.9875311255E+00     0.0000000000E+00     0.0000000000E+00    -0.9875311255E+00     0.1000366440E+03
   4.000     0.9187731171E+02    -0.9126848578E+00     0.0000000000E+00     0.0000000000E+00    -0.9126848578E+00     0.9187731171E+02     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9185676575E+02     0.1619658470E+01     0.0000000000E+00     0.0000000000E+00    -0.1619658470E+01     0.9185676575E+02
   5.000     0.8238182068E+02    -0.1288981438E+01     0.0000000000E+00     0.0000000000E+00    -0.1288981438E+01     0.8238182068E+02     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8233589172E+02     0.2281063080E+01     0.0000000000E+00     0.0000000000E+00    -0.2281063080E+01     0.8233589172E+02
   6.000     0.7215465546E+02    -0.1640798330E+01     0.0000000000E+00     0.0000000000E+00    -0.1640798330E+01     0.7215465546E+02     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.7206930542E+02     0.2892058611E+01     0.0000000000E+00     0.0000000000E+00    -0.2892058611E+01     0.7206930542E+02
   7.000     0.6177911758E+02    -0.1931430697E+01     0.0000000000E+00     0.0000000000E+00    -0.1931430697E+01     0.6177911758E+02     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6164017868E+02     0.3385126829E+01     0.0000000000E+00     0.0000000000E+00    -0.3385126829E+01     0.6164017868E+02
   8.000     0.5177167511E+02    -0.2135607243E+01     0.0000000000E+00     0.0000000000E+00    -0.2135607243E+01     0.5177167511E+02     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5156752777E+02     0.3713564873E+01     0.0000000000E+00     0.0000000000E+00    -0.3713564873E+01     0.5156752777E+02
   9.000     0.4254343414E+02    -0.2241941452E+01     0.0000000000E+00     0.0000000000E+00    -0.2241941452E+01     0.4254343414E+02     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4226726151E+02     0.3856194019E+01     0.0000000000E+00     0.0000000000E+00    -0.3856194019E+01     0.4226726151E+02
  10.000     0.3437491608E+02    -0.2252818584E+01     0.0000000000E+00     0.0000000000E+00    -0.2252818584E+01     0.3437491608E+02     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3402619553E+02     0.3817522287E+01     0.0000000000E+00     0.0000000000E+00    -0.3817522287E+01     0.3402619553E+02
