    logr                Nlogr
   -0.3010299957E+00    0.5180816459E+01
   -0.2962105891E+00    0.5067099047E+01
   -0.2913911824E+00    0.4955877699E+01
   -0.2865717758E+00    0.4847097628E+01
   -0.2817523692E+00    0.4740705247E+01
   -0.2769329626E+00    0.4636648148E+01
   -0.2721135560E+00    0.4534875072E+01
   -0.2672941494E+00    0.4435335885E+01
   -0.2624747428E+00    0.4337981554E+01
   -0.2576553361E+00    0.4242764123E+01
   -0.2528359295E+00    0.4149636686E+01
   -0.2480165229E+00    0.4058553370E+01
   -0.2431971163E+00    0.3969469306E+01
   -0.2383777097E+00    0.3882340611E+01
   -0.2335583031E+00    0.3797124366E+01
   -0.2287388965E+00    0.3713778592E+01
   -0.2239194899E+00    0.3632262234E+01
   -0.2191000832E+00    0.3552535136E+01
   -0.2142806766E+00    0.3474558025E+01
   -0.2094612700E+00    0.3398292488E+01
   -0.2046418634E+00    0.3323700958E+01
   -0.1998224568E+00    0.3250746690E+01
   -0.1950030502E+00    0.3179393747E+01
   -0.1901836436E+00    0.3109606981E+01
   -0.1853642369E+00    0.3041352014E+01
   -0.1805448303E+00    0.2974595223E+01
   -0.1757254237E+00    0.2909303724E+01
   -0.1709060171E+00    0.2845445355E+01
   -0.1660866105E+00    0.2782988659E+01
   -0.1612672039E+00    0.2721902868E+01
   -0.1564477973E+00    0.2662157893E+01
   -0.1516283907E+00    0.2603724303E+01
   -0.1468089840E+00    0.2546573313E+01
   -0.1419895774E+00    0.2490676771E+01
   -0.1371701708E+00    0.2436007141E+01
   -0.1323507642E+00    0.2382537494E+01
   -0.1275313576E+00    0.2330241490E+01
   -0.1227119510E+00    0.2279093368E+01
   -0.1178925444E+00    0.2229067933E+01
   -0.1130731377E+00    0.2180140541E+01
   -0.1082537311E+00    0.2132287091E+01
   -0.1034343245E+00    0.2085484011E+01
   -0.9861491790E-01    0.2039708244E+01
   -0.9379551129E-01    0.1994937243E+01
   -0.8897610468E-01    0.1951148951E+01
   -0.8415669806E-01    0.1908321800E+01
   -0.7933729145E-01    0.1866434693E+01
   -0.7451788484E-01    0.1825466995E+01
   -0.6969847822E-01    0.1785398526E+01
   -0.6487907161E-01    0.1746209549E+01
   -0.6005966500E-01    0.1707880758E+01
   -0.5524025838E-01    0.1670393273E+01
   -0.5042085177E-01    0.1633728627E+01
   -0.4560144516E-01    0.1597868760E+01
   -0.4078203854E-01    0.1562796006E+01
   -0.3596263193E-01    0.1528493089E+01
   -0.3114322532E-01    0.1494943111E+01
   -0.2632381870E-01    0.1462129545E+01
   -0.2150441209E-01    0.1430036227E+01
   -0.1668500548E-01    0.1398647349E+01
   -0.1186559886E-01    0.1367947447E+01
   -0.7046192251E-02    0.1337921399E+01
   -0.2226785638E-02    0.1308554414E+01
    0.2592620976E-02    0.1279832026E+01
    0.7412027589E-02    0.1251740086E+01
    0.1223143420E-01    0.1224264756E+01
    0.1705084082E-01    0.1197392501E+01
    0.2187024743E-01    0.1171110084E+01
    0.2668965404E-01    0.1145404559E+01
    0.3150906066E-01    0.1120263263E+01
    0.3632846727E-01    0.1095673810E+01
    0.4114787388E-01    0.1071624089E+01
    0.4596728050E-01    0.1048102253E+01
    0.5078668711E-01    0.1025096714E+01
    0.5560609372E-01    0.1002596140E+01
    0.6042550034E-01    0.9805894463E+00
    0.6524490695E-01    0.9590657937E+00
    0.7006431356E-01    0.9380145789E+00
    0.7488372018E-01    0.9174254321E+00
    0.7970312679E-01    0.8972882112E+00
    0.8452253340E-01    0.8775929963E+00
    0.8934194002E-01    0.8583300857E+00
    0.9416134663E-01    0.8394899904E+00
    0.9898075324E-01    0.8210634297E+00
    0.1038001599E+00    0.8030413266E+00
    0.1086195665E+00    0.7854148034E+00
    0.1134389731E+00    0.7681751773E+00
    0.1182583797E+00    0.7513139559E+00
    0.1230777863E+00    0.7348228335E+00
    0.1278971929E+00    0.7186936863E+00
    0.1327165995E+00    0.7029185693E+00
    0.1375360061E+00    0.6874897115E+00
    0.1423554128E+00    0.6723995126E+00
    0.1471748194E+00    0.6576405392E+00
    0.1519942260E+00    0.6432055209E+00
    0.1568136326E+00    0.6290873471E+00
    0.1616330392E+00    0.6152790631E+00
    0.1664524458E+00    0.6017738669E+00
    0.1712718524E+00    0.5885651059E+00
    0.1760912591E+00    0.5756462732E+00
