    logr                Nlogr
   -0.3979400087E+00    0.4688521683E+01
   -0.3920671143E+00    0.4563416833E+01
   -0.3861942199E+00    0.4441650183E+01
   -0.3803213255E+00    0.4323132659E+01
   -0.3744484311E+00    0.4207777565E+01
   -0.3685755367E+00    0.4095500516E+01
   -0.3627026424E+00    0.3986219379E+01
   -0.3568297480E+00    0.3879854215E+01
   -0.3509568536E+00    0.3776327217E+01
   -0.3450839592E+00    0.3675562651E+01
   -0.3392110648E+00    0.3577486809E+01
   -0.3333381704E+00    0.3482027946E+01
   -0.3274652760E+00    0.3389116232E+01
   -0.3215923817E+00    0.3298683702E+01
   -0.3157194873E+00    0.3210664203E+01
   -0.3098465929E+00    0.3124993348E+01
   -0.3039736985E+00    0.3041608467E+01
   -0.2981008041E+00    0.2960448563E+01
   -0.2922279097E+00    0.2881454266E+01
   -0.2863550154E+00    0.2804567791E+01
   -0.2804821210E+00    0.2729732895E+01
   -0.2746092266E+00    0.2656894835E+01
   -0.2687363322E+00    0.2586000329E+01
   -0.2628634378E+00    0.2516997517E+01
   -0.2569905434E+00    0.2449835921E+01
   -0.2511176490E+00    0.2384466413E+01
   -0.2452447547E+00    0.2320841174E+01
   -0.2393718603E+00    0.2258913662E+01
   -0.2334989659E+00    0.2198638574E+01
   -0.2276260715E+00    0.2139971820E+01
   -0.2217531771E+00    0.2082870484E+01
   -0.2158802827E+00    0.2027292795E+01
   -0.2100073883E+00    0.1973198098E+01
   -0.2041344940E+00    0.1920546821E+01
   -0.1982615996E+00    0.1869300450E+01
   -0.1923887052E+00    0.1819421497E+01
   -0.1865158108E+00    0.1770873476E+01
   -0.1806429164E+00    0.1723620871E+01
   -0.1747700220E+00    0.1677629118E+01
   -0.1688971277E+00    0.1632864574E+01
   -0.1630242333E+00    0.1589294491E+01
   -0.1571513389E+00    0.1546886998E+01
   -0.1512784445E+00    0.1505611074E+01
   -0.1454055501E+00    0.1465436524E+01
   -0.1395326557E+00    0.1426333961E+01
   -0.1336597613E+00    0.1388274780E+01
   -0.1277868670E+00    0.1351231140E+01
   -0.1219139726E+00    0.1315175944E+01
   -0.1160410782E+00    0.1280082817E+01
   -0.1101681838E+00    0.1245926087E+01
   -0.1042952894E+00    0.1212680768E+01
   -0.9842239503E-01    0.1180322542E+01
   -0.9254950064E-01    0.1148827738E+01
   -0.8667660626E-01    0.1118173316E+01
   -0.8080371187E-01    0.1088336852E+01
   -0.7493081749E-01    0.1059296522E+01
   -0.6905792310E-01    0.1031031081E+01
   -0.6318502872E-01    0.1003519853E+01
   -0.5731213433E-01    0.9767427136E+00
   -0.5143923995E-01    0.9506800741E+00
   -0.4556634556E-01    0.9253128697E+00
   -0.3969345118E-01    0.9006225439E+00
   -0.3382055679E-01    0.8765910355E+00
   -0.2794766241E-01    0.8532007652E+00
   -0.2207476802E-01    0.8304346225E+00
   -0.1620187364E-01    0.8082759538E+00
   -0.1032897925E-01    0.7867085497E+00
   -0.4456084865E-02    0.7657166333E+00
    0.1416809520E-02    0.7452848489E+00
    0.7289703905E-02    0.7253982502E+00
    0.1316259829E-01    0.7060422900E+00
    0.1903549268E-01    0.6872028091E+00
    0.2490838706E-01    0.6688660262E+00
    0.3078128145E-01    0.6510185277E+00
    0.3665417583E-01    0.6336472579E+00
    0.4252707022E-01    0.6167395095E+00
    0.4839996460E-01    0.6002829142E+00
    0.5427285899E-01    0.5842654339E+00
    0.6014575337E-01    0.5686753515E+00
    0.6601864776E-01    0.5535012627E+00
    0.7189154214E-01    0.5387320674E+00
    0.7776443653E-01    0.5243569617E+00
    0.8363733091E-01    0.5103654302E+00
    0.8951022530E-01    0.4967472378E+00
    0.9538311968E-01    0.4834924226E+00
    0.1012560141E+00    0.4705912885E+00
    0.1071289085E+00    0.4580343982E+00
    0.1130018028E+00    0.4458125661E+00
    0.1188746972E+00    0.4339168519E+00
    0.1247475916E+00    0.4223385536E+00
    0.1306204860E+00    0.4110692016E+00
    0.1364933804E+00    0.4001005521E+00
    0.1423662748E+00    0.3894245816E+00
    0.1482391691E+00    0.3790334802E+00
    0.1541120635E+00    0.3689196470E+00
    0.1599849579E+00    0.3590756833E+00
    0.1658578523E+00    0.3494943883E+00
    0.1717307467E+00    0.3401687531E+00
    0.1776036411E+00    0.3310919558E+00
    0.1834765355E+00    0.3222573567E+00
    0.1893494298E+00    0.3136584932E+00
    0.1952223242E+00    0.3052890750E+00
    0.2010952186E+00    0.2971429798E+00
    0.2069681130E+00    0.2892142487E+00
    0.2128410074E+00    0.2814970816E+00
    0.2187139018E+00    0.2739858334E+00
    0.2245867962E+00    0.2666750094E+00
    0.2304596905E+00    0.2595592618E+00
    0.2363325849E+00    0.2526333852E+00
    0.2422054793E+00    0.2458923134E+00
    0.2480783737E+00    0.2393311150E+00
    0.2539512681E+00    0.2329449905E+00
    0.2598241625E+00    0.2267292683E+00
    0.2656970569E+00    0.2206794016E+00
    0.2715699512E+00    0.2147909649E+00
    0.2774428456E+00    0.2090596506E+00
